iter	Logloss
0	0.6507237631
1	0.6134965396
2	0.5825941711
3	0.5543158561
4	0.526196606
5	0.5031511783
6	0.4843030434
7	0.4659546897
8	0.4471792395
9	0.4313553802
10	0.4175786089
11	0.4031957282
12	0.3912226449
13	0.3799841874
14	0.3697374847
15	0.3606562486
16	0.3531397933
17	0.3443325505
18	0.3370513124
19	0.3310518824
20	0.3254149012
21	0.3190977915
22	0.3140971763
23	0.3098307819
24	0.3051176007
25	0.3009481969
26	0.297265195
27	0.2926956378
28	0.289354217
29	0.2865611564
30	0.283169831
31	0.278991083
32	0.2760146879
33	0.2733382239
34	0.270830781
35	0.268906185
36	0.2661276547
37	0.2645587591
38	0.2621456016
39	0.2595390372
40	0.2574254958
41	0.2562685322
42	0.2547260061
43	0.2532097048
44	0.2521877221
45	0.250634759
46	0.2490921457
47	0.2476184009
48	0.2464633634
49	0.2459019832
50	0.2443119951
51	0.2430677225
52	0.2420759395
53	0.2411335633
54	0.2403549361
55	0.2389518983
56	0.2381553069
57	0.2374588964
58	0.2370441063
59	0.2365853439
60	0.235891007
61	0.2350904375
62	0.234123815
63	0.2331372329
64	0.2315752593
65	0.2308734544
66	0.2299412081
67	0.2291971669
68	0.2282247758
69	0.2278967535
70	0.2275027729
71	0.2272577859
72	0.226725358
73	0.2264427176
74	0.2259899685
75	0.2253730711
76	0.2250203503
77	0.224611073
78	0.2241303644
79	0.2233631967
80	0.2230297679
81	0.222803838
82	0.2225811397
83	0.2222641552
84	0.2215358893
85	0.221246733
86	0.2209429309
87	0.2207910639
88	0.2203681196
89	0.2199186985
90	0.2193581975
91	0.2191007101
92	0.2187320254
93	0.2185269162
94	0.2182906341
95	0.2180364947
96	0.2177982511
97	0.217590136
98	0.2173562946
99	0.217023176
100	0.2168018462
101	0.2163634257
102	0.2162402662
103	0.2160334303
104	0.2159255047
105	0.2152484858
106	0.2150691607
107	0.2148622651
108	0.214760284
109	0.214442542
110	0.2142989622
111	0.2141319844
112	0.2139795091
113	0.2138106077
114	0.2133169786
115	0.2130131617
116	0.2128536136
117	0.2127215703
118	0.2125991363
119	0.212480545
120	0.2122300131
121	0.2121649241
122	0.2118952989
123	0.2114365058
124	0.2112002719
125	0.2110267178
126	0.2108800186
127	0.2107800695
128	0.2106533192
129	0.2103813555
130	0.2101945035
131	0.2100678903
132	0.2099514482
133	0.2096513272
134	0.2095047162
135	0.2094149259
136	0.2089916892
137	0.2087572298
138	0.2086295143
139	0.2085562197
140	0.2084332613
141	0.2081865139
142	0.2078232772
143	0.2076211596
144	0.207534439
145	0.2073383145
146	0.2072338661
147	0.2071051261
148	0.2067031903
149	0.206629557
150	0.2066011934
151	0.2065227478
152	0.206447773
153	0.2063898396
154	0.2062740418
155	0.2061289371
156	0.2059929991
157	0.2058401205
158	0.2055836699
159	0.2054361076
160	0.2053234921
161	0.2051254001
162	0.2048500732
163	0.2046887931
164	0.2046195434
165	0.2045525365
166	0.2044179991
167	0.2042938919
168	0.2042263067
169	0.2041061572
170	0.2039883457
171	0.2038933075
172	0.2038429912
173	0.2037411221
174	0.2036332863
175	0.2034822106
176	0.2033354852
177	0.2032332138
178	0.2031334881
179	0.2030931231
180	0.2030621384
181	0.2029562148
182	0.2028276975
183	0.2022929336
184	0.202155017
185	0.2020095641
186	0.2019127377
187	0.2018378151
188	0.2018060962
189	0.2017507998
190	0.2015745105
191	0.2014908441
192	0.2012425014
193	0.2011763999
194	0.201060029
195	0.2010062921
196	0.2007927894
197	0.2006981437
198	0.2004984298
199	0.2003177597
200	0.2000935126
201	0.200023065
202	0.1998518905
203	0.1997551732
204	0.1996546025
205	0.1994551413
206	0.1993554222
207	0.1992439104
208	0.1990751414
209	0.1989780528
210	0.1988149832
211	0.1986668063
212	0.1985356547
213	0.1984738764
214	0.1983412813
215	0.1982283708
216	0.1981551521
217	0.1980567081
218	0.197807128
219	0.1976120346
220	0.1974157622
221	0.1972367336
222	0.1970460613
223	0.1968854387
224	0.1968135213
225	0.1967160905
226	0.1964624677
227	0.1964009976
228	0.1963157483
229	0.1962717344
230	0.1960777948
231	0.1959217158
232	0.1958354471
233	0.1957341667
234	0.1954961172
235	0.1953638088
236	0.195063482
237	0.1949419662
238	0.194779429
239	0.1947104445
240	0.1946337151
241	0.1945813016
242	0.1944335282
243	0.1942918267
244	0.1942058492
245	0.1940934391
246	0.1939249741
247	0.1937637754
248	0.1936142104
249	0.1935119178
250	0.1934479034
251	0.1932103868
252	0.1930976042
253	0.1929509432
254	0.1929039575
255	0.1928787259
256	0.1927815057
257	0.1926547909
258	0.1925444902
259	0.1924962026
260	0.1924044826
261	0.1922386743
262	0.1921065071
263	0.1920400967
264	0.1919486685
265	0.1918751704
266	0.191758763
267	0.191653674
268	0.1915846019
269	0.191493112
270	0.1913895967
271	0.1913351515
272	0.1912387011
273	0.1911519246
274	0.1910819723
275	0.1910336398
276	0.1909738413
277	0.1906687732
278	0.190520265
279	0.1904423324
280	0.1903611633
281	0.1901949963
282	0.1901094117
283	0.1899768513
284	0.1898717263
285	0.1898358109
286	0.1897329568
287	0.1896470067
288	0.1895803442
289	0.189462067
290	0.1894082188
291	0.1892326226
292	0.1891150913
293	0.1890060576
294	0.1887669079
295	0.1886500166
296	0.1884736804
297	0.1883226647
298	0.1882692902
299	0.1881417225
300	0.1880205128
301	0.1879377334
302	0.187895185
303	0.187763551
304	0.1876837657
305	0.1876198985
306	0.1875027829
307	0.1873878278
308	0.1873070099
309	0.1872396494
310	0.1871889937
311	0.1870986864
312	0.1870015015
313	0.1868981469
314	0.186814628
315	0.1867014581
316	0.1866232775
317	0.1865100254
318	0.1864485896
319	0.1863324642
320	0.1862750637
321	0.18623132
322	0.1861727466
323	0.1860802175
324	0.1859704497
325	0.1858517586
326	0.1856526272
327	0.1855197222
328	0.1854478302
329	0.1853789452
330	0.1852988119
331	0.1850997844
332	0.1850449295
333	0.1849749801
334	0.1847783033
335	0.1846756487
336	0.1845778977
337	0.1844122643
338	0.1843009169
339	0.184194886
340	0.1841215605
341	0.1840214798
342	0.1839421047
343	0.1838157213
344	0.1837416984
345	0.1836247869
346	0.1835518243
347	0.1834852196
348	0.1833888055
349	0.1832599204
350	0.1831377582
351	0.1830487299
352	0.1829835688
353	0.1829186467
354	0.1827817183
355	0.1827211487
356	0.1826056477
357	0.1825222414
358	0.1824207099
359	0.1823368225
360	0.182212407
361	0.1821594652
362	0.1821008641
363	0.1820643237
364	0.1819797583
365	0.1818733423
366	0.1817876981
367	0.1817614432
368	0.1816886517
369	0.1815143429
370	0.1814011258
371	0.1813056566
372	0.1812354026
373	0.1810634691
374	0.1810007411
375	0.1808356314
376	0.1807699661
377	0.1806727108
378	0.1806040869
379	0.1805217229
380	0.18044175
381	0.1803983089
382	0.1803409082
383	0.1802463983
384	0.1801987488
385	0.1801328928
386	0.1800932007
387	0.1800381011
388	0.1798812104
389	0.1798171149
390	0.1797226228
391	0.179687116
392	0.1795969652
393	0.1795679459
394	0.1794978843
395	0.1793590245
396	0.1792163098
397	0.1791258185
398	0.178978523
399	0.178932141
400	0.1788042711
401	0.1787082409
402	0.1785565211
403	0.1784860975
404	0.1784090133
405	0.1783390014
406	0.178253498
407	0.1781864808
408	0.1781032038
409	0.1779560649
410	0.1779299386
411	0.1778445675
412	0.1777659681
413	0.1776743052
414	0.1776091366
415	0.1775749724
416	0.1774629867
417	0.1773966854
418	0.1773536328
419	0.1772830609
420	0.1772109026
421	0.1771636281
422	0.1771188071
423	0.1770499097
424	0.1769983838
425	0.1769797098
426	0.1768868693
427	0.1768285377
428	0.1767378666
429	0.1766132029
430	0.1765893676
431	0.1765571148
432	0.1765394553
433	0.1765013491
434	0.1763586003
435	0.1762192718
436	0.1761423442
437	0.1761020633
438	0.1760419003
439	0.175936484
440	0.1758865382
441	0.1758641869
442	0.1757918329
443	0.1757380176
444	0.1757225856
445	0.1756828464
446	0.1755409059
447	0.1755066628
448	0.1754264232
449	0.175357532
450	0.1752186538
451	0.1750970412
452	0.1750194091
453	0.1749090103
454	0.1748744537
455	0.1748600804
456	0.1748449852
457	0.174548874
458	0.1743843738
459	0.1743176293
460	0.1742806313
461	0.1741795203
462	0.1741297497
463	0.1740600131
464	0.1739383693
465	0.1738807958
466	0.1738020487
467	0.1737266525
468	0.1736839541
469	0.1735315923
470	0.1735061072
471	0.1734567889
472	0.1734240367
473	0.1733458436
474	0.1732895832
475	0.1732083756
476	0.1731656728
477	0.1730981
478	0.1730595736
479	0.172947035
480	0.17286165
481	0.1726822453
482	0.1726050721
483	0.1724766575
484	0.1724088828
485	0.1723110703
486	0.1722427528
487	0.1721399085
488	0.1720735626
489	0.1720106925
490	0.1719263719
491	0.1719105721
492	0.1718452553
493	0.1717490518
494	0.1716941504
495	0.1716468226
496	0.1715721475
497	0.1715035686
498	0.1714421516
499	0.1713610021
500	0.1712862052
501	0.1712182635
502	0.1711388781
503	0.1710793468
504	0.1710443381
505	0.1709715952
506	0.1709072493
507	0.1708102185
508	0.1707467172
509	0.1706227292
510	0.1706050608
511	0.1705078519
512	0.1704522935
513	0.1703879959
514	0.170276943
515	0.1702484051
516	0.1701748156
517	0.1701233845
518	0.17005615
519	0.1700001203
520	0.1699304018
521	0.1698746356
522	0.1698052315
523	0.1697181137
524	0.1696226644
525	0.169540193
526	0.1694024421
527	0.1693519608
528	0.169269481
529	0.1692120232
530	0.1691267452
531	0.1690315509
532	0.1689736604
533	0.1689179003
534	0.1688621826
535	0.1686887587
536	0.1686293699
537	0.1685920538
538	0.1685494168
539	0.1684578766
540	0.1683783419
541	0.1682891317
542	0.1682028438
543	0.168126991
544	0.1680816242
545	0.1680378283
546	0.1680158951
547	0.1680039364
548	0.1679731958
549	0.1679241532
550	0.1678637124
551	0.1677962266
552	0.1677698678
553	0.1676176938
554	0.1675632333
555	0.1675210234
556	0.1673977344
557	0.1673496751
558	0.167251823
559	0.1671770696
560	0.1669967058
561	0.1669641931
562	0.1669211739
563	0.1668768841
564	0.1667901556
565	0.1667143083
566	0.1666499941
567	0.1665906403
568	0.1665254347
569	0.1664655876
570	0.1664128872
571	0.1663464945
572	0.166256268
573	0.1661386809
574	0.1660329174
575	0.165930567
576	0.1658793693
577	0.1658279878
578	0.1657817092
579	0.1657472543
580	0.1657043822
581	0.1656897081
582	0.1656505514
583	0.1655782323
584	0.1655109603
585	0.1654722231
586	0.1654384594
587	0.1653844152
588	0.1653309589
589	0.1652488586
590	0.1651767186
591	0.1651483138
592	0.1650694226
593	0.1650019671
594	0.1649623691
595	0.1648972456
596	0.1648510697
597	0.1647665906
598	0.1647222092
599	0.164652357
600	0.1645339652
601	0.1644750906
602	0.1643571326
603	0.1643228613
604	0.1642877503
605	0.1642373366
606	0.1641820945
607	0.1641457553
608	0.1640829903
609	0.1638832724
610	0.1637896682
611	0.1636792326
612	0.1635840934
613	0.1635200302
614	0.1634326087
615	0.1632781628
616	0.1631791985
617	0.1631181935
618	0.1630616865
619	0.1629645714
620	0.1629323015
621	0.1628711464
622	0.1628020023
623	0.1626587696
624	0.1626046986
625	0.1625746503
626	0.1625054654
627	0.1624688292
628	0.1623859553
629	0.1623454576
630	0.1623320816
631	0.1622831506
632	0.1621865427
633	0.1621279898
634	0.1620392978
635	0.161980232
636	0.1619009884
637	0.1617955812
638	0.1616961285
639	0.1616436605
640	0.1615664889
641	0.161557211
642	0.1615121827
643	0.1614487052
644	0.1613509298
645	0.1612801088
646	0.1610361649
647	0.160980569
648	0.160934337
649	0.1609253845
650	0.1608546669
651	0.160780007
652	0.1607247976
653	0.1606669249
654	0.1606155033
655	0.1605784701
656	0.1605467314
657	0.1605141294
658	0.1604632041
659	0.1604105339
660	0.1603797796
661	0.1603226688
662	0.1602649039
663	0.1602076893
664	0.1601993611
665	0.1601423978
666	0.1600780567
667	0.160069762
668	0.1600249633
669	0.1599949666
670	0.1599101275
671	0.1598714715
672	0.1598403979
673	0.1597211581
674	0.1597095395
675	0.1596432165
676	0.1596048881
677	0.159556386
678	0.1594714267
679	0.1594256309
680	0.1593681156
681	0.15930177
682	0.1592570178
683	0.1591924225
684	0.159136326
685	0.1591134149
686	0.1590725388
687	0.1590199936
688	0.1589826139
689	0.1588955931
690	0.1588014494
691	0.1587150807
692	0.1586650335
693	0.1586220869
694	0.1585795643
695	0.1585198503
696	0.158459801
697	0.1584067417
698	0.158364901
699	0.1583123847
700	0.1582910572
701	0.1582449852
702	0.1581159339
703	0.1580584016
704	0.1579683789
705	0.157890067
706	0.1578403193
707	0.1577851455
708	0.1577126882
709	0.1576530918
710	0.1575594902
711	0.1575235377
712	0.1574687581
713	0.1573787558
714	0.1573283061
715	0.1573006559
716	0.1572543531
717	0.1572054851
718	0.1571308287
719	0.1570654897
720	0.1570191703
721	0.1569563748
722	0.1569115305
723	0.1568377943
724	0.1567822003
725	0.1567205534
726	0.1566852929
727	0.1566621339
728	0.1566256662
729	0.1565587248
730	0.1565244415
731	0.1564650343
732	0.1564299975
733	0.1563440628
734	0.1562869461
735	0.1562546948
736	0.1562345979
737	0.1561519076
738	0.1561107103
739	0.1560834291
740	0.1560129422
741	0.1559426411
742	0.1559015306
743	0.1558715914
744	0.1558216478
745	0.1557953088
746	0.1557304773
747	0.1556480344
748	0.1555675902
749	0.1555105941
750	0.1554793403
751	0.1554186056
752	0.1553589261
753	0.1553007026
754	0.1552200236
755	0.1551720282
756	0.1550580727
757	0.1550081487
758	0.1549498995
759	0.1549428225
760	0.1548754419
761	0.1548051558
762	0.1547766122
763	0.1546583083
764	0.1546026374
765	0.1545484674
766	0.1544981297
767	0.1544360797
768	0.1544252698
769	0.1543970027
770	0.1543335258
771	0.1542744054
772	0.1542211622
773	0.1541719079
774	0.1541523864
775	0.1541461313
776	0.1541423889
777	0.1541065457
778	0.1540227045
779	0.1539926349
780	0.1539467653
781	0.1538986145
782	0.1538480656
783	0.1537739708
784	0.1537190377
785	0.1535970923
786	0.1535345273
787	0.1534802488
788	0.1534004542
789	0.1533750617
790	0.1533381516
791	0.1532998937
792	0.153253932
793	0.1531975995
794	0.1531623861
795	0.1531259948
796	0.1530937349
797	0.1530848552
798	0.1530371079
799	0.1530032624
800	0.1529554652
801	0.1528964018
802	0.1528439209
803	0.1527473198
804	0.1527358166
