iter	Passed	Remaining
0	51	51247
1	54	27012
2	56	18773
3	58	14600
4	60	12124
5	63	10472
6	65	9286
7	67	8392
8	69	7689
9	71	7126
10	74	6671
11	76	6296
12	78	5981
13	81	5707
14	83	5467
15	85	5254
16	87	5066
17	89	4898
18	91	4746
19	94	4615
20	96	4492
21	98	4377
22	100	4272
23	102	4178
24	104	4091
25	107	4009
26	109	3934
27	111	3867
28	113	3803
29	115	3744
30	117	3686
31	120	3634
32	122	3584
33	124	3538
34	126	3492
35	128	3449
36	130	3407
37	133	3368
38	135	3331
39	137	3296
40	139	3265
41	141	3233
42	143	3203
43	146	3175
44	148	3146
45	150	3118
46	152	3095
47	154	3073
48	157	3049
49	159	3022
50	161	3000
51	163	2980
52	165	2959
53	167	2939
54	169	2918
55	172	2900
56	174	2883
57	176	2864
58	178	2845
59	180	2829
60	182	2814
61	185	2799
62	187	2783
63	189	2769
64	191	2754
65	193	2739
66	195	2724
67	197	2712
68	199	2698
69	202	2685
70	204	2673
71	206	2658
72	208	2646
73	210	2635
74	212	2624
75	214	2612
76	216	2601
77	219	2590
78	221	2579
79	223	2570
80	225	2560
81	227	2550
82	229	2540
83	232	2530
84	234	2521
85	236	2512
86	238	2505
87	240	2496
88	243	2488
89	245	2478
90	247	2471
91	249	2462
92	251	2454
93	253	2446
94	255	2438
95	258	2430
96	260	2424
97	262	2416
98	264	2409
99	266	2401
100	269	2394
101	272	2394
102	274	2390
103	276	2385
104	279	2378
105	281	2372
106	283	2366
107	285	2360
108	288	2354
109	290	2349
110	292	2342
111	294	2336
112	296	2331
113	299	2325
114	301	2322
115	303	2316
116	306	2310
117	308	2303
118	310	2298
119	312	2292
120	314	2286
121	316	2280
122	319	2275
123	321	2269
124	323	2264
125	325	2258
126	327	2253
127	329	2247
128	332	2242
129	334	2236
130	336	2230
131	338	2225
132	340	2220
133	342	2214
134	344	2209
135	347	2204
136	349	2200
137	351	2195
138	353	2190
139	355	2185
140	357	2180
141	360	2175
142	362	2170
143	364	2166
144	366	2162
145	368	2157
146	370	2152
147	373	2147
148	375	2142
149	377	2137
150	380	2137
151	382	2132
152	384	2127
153	386	2122
154	388	2118
155	390	2113
156	392	2110
157	395	2105
158	397	2100
159	399	2096
160	401	2092
161	403	2088
162	406	2085
163	408	2080
164	410	2076
165	412	2072
166	414	2068
167	416	2064
168	418	2060
169	421	2055
170	423	2051
171	425	2047
172	427	2043
173	429	2039
174	431	2035
175	433	2031
176	436	2027
177	438	2023
178	440	2020
179	442	2016
180	444	2011
181	446	2008
182	449	2004
183	451	2000
184	453	1997
185	455	1993
186	457	1989
187	459	1985
188	461	1980
189	463	1976
190	465	1973
191	467	1969
192	470	1966
193	472	1962
194	474	1958
195	476	1954
196	478	1951
197	480	1947
198	483	1944
199	485	1941
200	487	1937
201	489	1934
202	491	1930
203	493	1927
204	496	1924
205	498	1920
206	500	1917
207	502	1913
208	504	1910
209	507	1907
210	509	1904
211	511	1901
212	513	1897
213	515	1893
214	517	1890
215	519	1887
216	522	1883
217	524	1880
218	526	1877
219	528	1873
220	530	1870
221	532	1866
222	536	1869
223	538	1866
224	541	1863
225	543	1860
226	545	1857
227	547	1854
228	549	1851
229	551	1847
230	554	1844
231	556	1841
232	558	1838
233	560	1835
234	563	1835
235	566	1833
236	568	1830
237	570	1828
238	573	1825
239	575	1821
240	577	1818
241	580	1817
242	582	1815
243	585	1813
244	587	1810
245	589	1806
246	591	1803
247	593	1800
248	596	1798
249	598	1796
250	601	1793
